,Set Score,Game Score,Serving?,Point Score,% Win,Number of Instances,Points Elapsed,Y
359,0-0,3-1,Returning,Start of Game,0.746461347021,6429,0,0
360,0-0,1-4,Serving,0-15,0.194063926941,2190,1,-1
361,0-0,4-1,Returning,15-0,0.805936073059,2190,1,1
362,0-0,1-4,Serving,0-30,0.178571428571,952,2,-2
363,0-0,4-1,Returning,30-0,0.821428571429,952,2,2
364,0-0,1-4,Serving,0-40,0.141486810552,417,3,-3
365,0-0,4-1,Returning,40-0,0.858513189448,417,3,3
366,0-0,1-4,Serving,15-0,0.226334951456,3296,1,1
367,0-0,4-1,Returning,0-15,0.773665048544,3296,1,-1
368,0-0,1-4,Serving,15-15,0.2124170246,2561,2,0
369,0-0,4-1,Returning,15-15,0.7875829754,2561,2,0
370,0-0,1-4,Serving,15-30,0.19233186675,1591,3,-1
371,0-0,4-1,Returning,30-15,0.80766813325,1591,3,1
372,0-0,1-4,Serving,15-40,0.166666666667,918,4,-2
373,0-0,4-1,Returning,40-15,0.833333333333,918,4,2
374,0-0,1-4,Serving,30-0,0.231626964014,1973,2,2
375,0-0,4-1,Returning,0-30,0.768373035986,1973,2,-2
376,0-0,1-4,Serving,30-15,0.221387538665,2263,3,1
377,0-0,4-1,Returning,15-30,0.778612461335,2263,3,-1
378,0-0,1-4,Serving,30-30,0.204048140044,1828,4,0
379,0-0,4-1,Returning,30-30,0.795951859956,1828,4,0
380,0-0,1-4,Serving,30-40,0.187898089172,1256,5,-1
381,0-0,4-1,Returning,40-30,0.812101910828,1256,5,1
382,0-0,1-4,Serving,40-0,0.251028806584,1215,3,3
383,0-0,4-1,Returning,0-40,0.748971193416,1215,3,-3
384,0-0,1-4,Serving,40-15,0.231762065095,1782,4,2
385,0-0,4-1,Returning,15-40,0.768237934905,1782,4,-2
386,0-0,1-4,Serving,40-30,0.211699164345,1795,5,1
387,0-0,4-1,Returning,30-40,0.788300835655,1795,5,-1
388,0-0,1-4,Serving,40-40,0.202152190623,2602,6,0
389,0-0,4-1,Returning,40-40,0.797847809377,2602,6,0
390,0-0,1-4,Serving,40-AD,0.16155234657,1108,7,-1
391,0-0,4-1,Returning,AD-40,0.83844765343,1108,7,1
392,0-0,1-4,Serving,AD-40,0.232417950435,1493,7,1
393,0-0,4-1,Returning,40-AD,0.767582049565,1493,7,-1
394,0-0,1-4,Serving,Start of Game,0.213517944981,5489,0,0
395,0-0,4-1,Returning,Start of Game,0.786482055019,5489,0,0
396,0-0,1-5,Serving,0-15,0.11263467189,1021,1,-1
397,0-0,5-1,Returning,15-0,0.88736532811,1021,1,1
398,0-0,1-5,Serving,0-30,0.109504132231,484,2,-2
399,0-0,5-1,Returning,30-0,0.890495867769,484,2,2
400,0-0,1-5,Serving,0-40,0.09375,224,3,-3
401,0-0,5-1,Returning,40-0,0.90625,224,3,3
402,0-0,1-5,Serving,15-0,0.161341853035,1252,1,1
403,0-0,5-1,Returning,0-15,0.838658146965,1252,1,-1
